home_team_name,away_team_name,home_team_goal_count,away_team_goal_count,status,timestamp,referee,home_team_possession,away_team_possession,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,away_team_yellow_cards,home_team_pre_match_xg,away_team_pre_match_xg,is_cup,home_team_lsi,away_team_lsi
Everton de Vina,Deportes Iquique,1.0,1.0,complete,1722034800,N. Millas,57.0,43.0,5.0,6.0,3.0,1.0,1.0,1.0,0,1.0,1.0
Deportes Copiapo,Coquimbo Unido,3.0,0.0,complete,1722097800,D. Flores,50.0,50.0,1.0,6.0,2.0,2.0,0.85,0.44,0,1.0,1.0
Union Espanola,Cobresal,2.0,1.0,complete,1722106800,P. Maza,62.0,38.0,8.0,4.0,3.0,5.0,1.85,2.94,0,1.0,1.0
Colo Colo,O'Higgins,2.0,1.0,complete,1722115800,M. Riquelme,58.0,42.0,3.0,7.0,4.0,3.0,2.44,0.6,0,1.0,1.0
Nublense,U. Catolica,1.0,2.0,complete,1722193200,J. Lara,46.0,54.0,3.0,3.0,6.0,1.0,1.0,1.0,0,1.0,1.0
A. Italiano,Universidad de Chile,1.0,0.0,complete,1722202200,H. Jona,37.0,63.0,2.0,5.0,3.0,5.0,1.0,1.0,0,1.0,1.0
Union La Calera,Huachipato,2.0,1.0,complete,1722211200,F. Vejar,39.0,61.0,2.0,7.0,2.0,3.0,0.83,1.23,0,1.0,1.0
Cobreloa,Palestino,3.0,1.0,complete,1722297600,C. Garay,46.0,54.0,5.0,1.0,1.0,3.0,0.68,1.7,0,1.0,1.0
Coquimbo Unido,Union Espanola,2.0,2.0,complete,1722643200,F. Gilabert,42.0,58.0,6.0,3.0,2.0,5.0,3.72,1.88,0,1.0,1.0
Everton de Vina,O'Higgins,1.0,1.0,complete,1722702600,N. Gamboa,36.0,64.0,5.0,2.0,0.0,2.0,1.94,1.21,0,1.0,1.0
U. Catolica,Palestino,1.0,1.0,complete,1722720600,M. Riquelme,48.0,52.0,1.0,10.0,3.0,3.0,0.74,1.5,0,1.0,1.0
Deportes Iquique,Union La Calera,1.0,1.0,complete,1722729600,R. Alvarado,55.0,45.0,3.0,4.0,2.0,4.0,1.9,1.14,0,1.0,1.0
