l_gf,l_gc,l_ppg,l_pos,l_xg,v_gf,v_gc,v_ppg,v_pos,v_xg,target_1x2,home_team_goal_count,away_team_goal_count,home_team_corner_count,away_team_corner_count
2.6,0.8,2.2,62.2,2.376,0.6,1.8,0.6,48.0,0.8620000000000001,0,1,0,5.0,1.0
1.2,2.6,0.8,44.0,0.798,1.6,1.4,1.0,61.6,1.586,2,0,2,4.0,4.0
1.6,1.0,1.8,45.2,0.9380000000000001,1.4,0.4,2.2,47.0,2.42,1,2,2,1.0,7.0
1.0,1.0,1.2,33.2,0.67,1.6,1.2,2.4,35.8,1.102,2,0,2,5.0,4.0
2.2,2.4,0.6,56.8,1.6760000000000002,1.4,1.6,1.2,50.6,1.098,1,2,2,5.0,5.0
1.4,1.6,1.6,40.6,1.466,0.2,2.4,0.2,47.4,0.8780000000000001,0,2,1,8.0,7.0
1.2,1.2,1.6,51.2,1.844,3.2,1.8,2.2,56.2,3.0460000000000003,2,0,5,2.0,6.0
0.6,1.8,0.6,43.4,0.7739999999999999,2.4,1.4,2.0,60.0,2.556,0,2,0,4.0,7.0
1.4,1.4,1.8,45.4,1.4300000000000002,1.0,1.8,0.6,55.8,1.252,1,2,2,12.0,3.0
0.8,2.2,0.6,55.6,1.324,3.2,1.4,2.0,55.4,2.4899999999999998,2,0,2,2.0,3.0
1.2,1.8,0.8,47.8,1.1320000000000001,1.8,0.4,2.2,63.8,2.0279999999999996,2,1,3,4.0,3.0
2.6,2.6,0.8,53.4,1.952,3.0,0.8,2.4,56.6,2.456,2,1,2,9.0,10.0
1.6,0.8,1.8,49.6,2.074,1.0,0.6,1.2,38.0,0.732,0,1,0,9.0,3.0
0.2,1.8,0.2,49.2,0.754,1.2,1.8,0.8,47.8,0.99,2,0,5,2.0,2.0
1.4,1.4,1.0,57.6,1.3579999999999999,1.0,1.6,1.6,48.2,1.2980000000000003,0,4,1,7.0,1.0
1.6,1.8,1.6,40.6,1.544,1.4,1.6,1.4,64.2,1.8700000000000003,1,1,1,6.0,6.0
1.2,1.6,1.4,47.6,1.3,0.6,2.8,0.2,47.0,0.7879999999999999,0,2,1,6.0,2.0
1.2,1.6,0.8,52.4,1.184,2.0,0.6,2.2,63.6,1.9780000000000002,1,1,1,2.0,5.0
1.4,1.2,1.4,47.0,1.03,1.0,1.6,1.2,37.4,0.992,1,2,2,9.0,2.0
3.8,1.8,2.2,58.2,2.962,0.8,2.2,0.6,56.2,1.4600000000000002,1,2,2,5.0,9.0
1.8,1.2,1.4,49.8,1.086,2.0,0.6,3.0,36.2,1.222,2,0,3,5.0,3.0
0.8,2.2,1.0,46.2,1.3820000000000001,1.6,1.4,1.4,54.8,1.4460000000000002,0,3,2,0.0,3.0
0.8,1.2,1.0,64.4,1.552,1.4,0.6,1.8,49.8,1.786,1,2,2,9.0,3.0
1.4,1.4,0.8,48.8,1.636,1.8,1.2,1.4,55.2,1.45,1,2,2,4.0,5.0
2.0,0.2,3.0,38.2,1.482,3.6,1.6,2.2,57.0,3.128,1,1,1,0.0,9.0
3.0,0.2,3.0,54.0,2.65,1.6,1.4,1.4,52.8,1.1099999999999999,0,3,0,4.0,2.0
0.2,0.8,0.6,37.6,0.67,1.4,1.8,1.4,50.4,1.154,2,0,1,8.0,5.0
0.4,2.8,0.0,43.8,0.608,1.4,1.6,1.6,41.8,1.4920000000000002,2,0,2,4.0,3.0
2.0,0.6,2.2,61.4,1.748,2.2,2.2,0.8,57.0,1.56,0,2,1,10.0,4.0
1.2,1.6,1.4,34.2,1.046,1.0,1.4,0.8,52.4,1.1800000000000002,2,0,2,1.0,9.0
0.8,2.0,0.8,51.4,1.35,0.2,2.6,0.2,48.8,0.746,0,3,1,4.0,4.0
2.8,0.2,3.0,54.4,2.314,1.6,0.8,1.8,48.2,1.6199999999999999,2,1,4,7.0,6.0
0.4,2.4,0.0,47.0,0.9100000000000001,1.6,1.6,1.2,58.2,1.582,2,0,2,5.0,2.0
1.2,2.4,1.4,45.2,1.16,1.2,1.4,1.6,43.4,1.3940000000000001,2,0,2,2.0,4.0
1.6,1.4,1.0,50.2,1.8080000000000003,3.4,1.4,2.2,59.0,3.1,2,0,2,2.0,15.0
2.4,0.8,2.6,56.6,1.794,1.4,1.4,2.0,50.4,1.3119999999999998,1,2,2,10.0,1.0
1.0,2.0,0.8,53.8,1.6179999999999999,1.2,0.8,1.4,50.2,1.174,2,1,3,4.0,2.0
0.2,1.0,0.4,43.0,0.8800000000000001,1.4,2.6,0.2,54.8,1.228,0,3,2,3.0,8.0
1.8,0.2,2.6,34.0,1.188,0.4,2.2,0.2,48.4,0.8859999999999999,0,3,2,2.0,8.0
0.8,1.8,0.8,34.2,0.8620000000000001,2.0,1.2,1.6,55.8,1.6800000000000002,2,0,6,4.0,7.0
0.8,1.4,0.6,63.4,1.6060000000000003,1.4,1.6,1.4,49.8,1.1800000000000002,0,3,1,3.0,6.0
1.8,1.0,1.8,49.2,1.746,2.0,0.6,2.6,35.8,1.418,0,5,0,3.0,9.0
1.0,2.2,0.8,48.0,1.1300000000000001,1.8,1.0,2.2,58.2,1.4860000000000002,2,0,1,1.0,5.0
2.6,0.8,2.2,61.6,2.6599999999999997,0.8,2.2,0.8,32.4,0.8360000000000001,0,4,1,3.0,4.0
